event_id,broadcast_type,broadcast_date,tv_station_network,tv_rating
48417,Taped,2000-04-02,lokale TV Sender (USA),
4579,Taped,2002-06-13,UPN,3.6
17707,Taped,1998-01-03,TBS,
179369,Taped,1984-04-29,,
16411,Live,2008-01-06,PPV Sender,
3436,Taped,1997-01-20,USA Network,2.2
356457,Taped,2022-11-28,YouTube.com,
47788,Taped,1996-09-01,Televisa Deportes,
121152,Taped,1965-03-06,,
335806,Live,2022-02-05,Wrestle Universe,
188520,Taped,2017-12-07,Hulu,
180701,Taped,2016-08-19,AXS TV,
334614,Taped,2022-07-02,Demand-PROGRESS.com,
206775,Taped,1984-06-09,,
302970,Taped,2021-02-10,Wrestle Universe,
343195,Taped,2022-05-23,YouTube.com,
136271,Taped,2015-08-26,Hulu,
352698,Live,2022-09-30,Ticketmaster Live,
55382,Taped,,Samurai! TV,
351168,Live,2022-11-09,TBS,
13770,,,,
334616,Taped,2022-09-10,Demand-PROGRESS.com,
15270,Taped,2007-12-08,Samurai! TV,
49926,Taped,2000-09-17,Televisa Deportes,
12357,Taped,1988-09-03,lokale TV Sender (USA),
197889,Live,2018-06-03,Twitch.tv,
7472,Live,2006-08-12,J-SPORTS ESPN,
138880,Taped,2015-12-02,Destination America,
391258,Taped,2002-10-19,lokale TV Sender (USA),
19001,Live,,Nippon TV / G+,
239821,Taped,1988-08-06,WTBS,
66480,Taped,2011-07-25,Gaora TV,
12017,Live,2007-06-17,,
55809,Taped,1992-09-26,,
52756,Taped,2010-07-04,Televisa Deportes,
41600,Taped,,TV Asahi,
262785,Taped,1988-11-12,,
281343,Taped,2020-07-16,BT Sport,
316518,Live,2021-09-05,FITE TV,
139130,Taped,2000-10-03,Samurai! TV,
61381,Taped,,TV Asahi,
174027,Live,2017-05-02,USA Network,
180850,Live,2017-07-31,DDTuniverse.com,
361621,Live,2023-04-03,Samurai! TV,
161668,Taped,2016-09-10,Televisa Deportes,
70526,Taped,2011-10-17,USA Network,3.1
195053,Live,2018-03-05,YouTube.com,
4839,Live,1985-02-18,MTV,9.1
382282,Live,2023-10-14,Space,
117972,Taped,2014-09-27,lokale TV Sender (USA),
97620,Taped,2013-07-06,lokale TV Sender (USA),
117433,Taped,2014-11-19,Spike TV,
35367,Live,2009-06-21,PPV Sender,
154720,Live,2016-05-28,Samurai! TV,
96892,Taped,1964-07-13,,
332525,Taped,1998-12-19,,
129577,Taped,2009-05-08,TNAwrestling.com,
35069,Taped,1989-01-14,,
88548,Taped,2012-11-24,lokale TV Sender (USA),
135805,Taped,,lokale TV Sender (USA),
321864,Live,2021-08-29,Dragon Gate Network,
79238,Taped,1984-03-30,TV Asahi,
394537,Taped,2024-05-16,AXS TV,
359519,Live,2023-02-24,NJPWWorld.com,
214937,Live,2018-11-11,Dragon Gate Network,
151652,Live,2016-04-26,YouTube.com,
70687,Taped,2011-10-27,Spike TV,1.1
102915,Taped,2013-10-30,,
17051,Taped,1990-12-02,lokale TV Sender (USA),
50346,Taped,2010-04-24,Samurai! TV,
38810,Taped,1996-02-25,Televisa Deportes,
306735,Live,2021-04-26,USA Network,
70020,Taped,1994-07-22,Televisa Deportes,
56570,Live,2010-08-15,,
18244,Taped,1985-10-19,lokale TV Sender (USA),
348064,Taped,2022-08-26,WWE Network,
302642,Taped,2021-02-02,AXS TV,
79384,Live,2012-05-06,PPV Sender,
293281,Live,2020-10-09,Ticketmaster Live,
365313,Taped,2023-04-23,Samurai! TV,
60076,Taped,2010-03-28,Televisa Deportes,
286201,Live,2020-08-23,WWE Network,
334515,Taped,2022-01-17,YouTube.com,
326962,Live,2021-10-22,AJPW.tv,
189242,Taped,2017-12-20,WWE Network,
84356,Taped,2002-02-09,Televisa Deportes,
289380,Live,2020-09-11,Ticketmaster Live,
2403,Live,2003-04-27,,
111928,Live,2014-06-03,WWE Network,
19594,Taped,,lokale TV Sender (USA),
15698,Taped,1995-05-06,lokale TV Sender (USA),
188213,Taped,2017-12-07,Samurai! TV,
350299,Live,2022-09-13,USA Network,
116197,Live,2014-10-26,PPV Sender,
298542,Live,2020-12-08,Dragon Gate Network,
1048,Taped,,Nippon TV / G+,
56520,Taped,,NET TV,
41083,Taped,1998-06-20,TV Asahi,
177432,Taped,2017-06-18,Samurai! TV,
382182,Live,2024-01-02,USA Network,
179957,Live,2017-07-18,USA Network,
153714,Taped,2016-05-20,WWE Network,
339458,Taped,2022-03-31,YouTube.com,
44012,Taped,2009-10-23,Gaora TV,
394246,Taped,1981-07-18,lokale TV Sender (USA),
111251,Taped,2014-05-24,Televisa Deportes,
76792,Taped,2012-03-22,Spike TV,1.1
354012,Taped,,,
142505,Live,2015-12-04,ClaroSports.com,
251819,Taped,2020-01-14,DDTuniverse.com,
346295,Live,2022-07-01,Ticketmaster Live,
56488,Taped,,,
178276,Taped,1983-11-06,,
291375,Taped,,,
9724,Taped,1997-08-30,TV Asahi,
386128,Live,2024-01-30,USA Network,
13787,Taped,2007-09-21,WWE.com,
151402,Taped,2016-05-01,Samurai! TV,
63695,Taped,1973-04-14,,
318343,Taped,2019-11-14,Hulu,
332210,Taped,2021-12-22,YouTube.com,
157928,Taped,2016-07-28,POP TV,
380448,Taped,,,
134695,Taped,1973-01-06,,
9057,Taped,,PRISM Network,
45200,Taped,2009-12-01,Samurai! TV,
375018,Live,2023-09-03,Abema TV / Wrestle Universe,
293806,Taped,,,
97745,Taped,2013-07-03,,
5654,Taped,,Nippon TV,
156417,Taped,2016-06-22,Hulu,
127558,Taped,1967-10-14,,
182473,Taped,2017-09-03,Samurai! TV,
199405,Taped,2018-05-29,Samurai! TV,
127002,Taped,2015-04-01,WWE Network,
346401,Live,2022-07-03,Dragon Gate Network,
109088,Taped,2014-03-29,CadenaTres,
346888,Taped,2022-07-12,YouTube.com,
373045,Live,2023-11-18,FITE TV,
8903,Taped,2000-07-09,USA Network,
84699,Taped,2002-08-17,Televisa Deportes,
338798,Taped,2022-03-21,YouTube.com,
67046,Live,2011-08-01,USA Network,3.3
57356,Taped,2010-11-05,Syfy,
84850,Taped,2012-08-18,Fox Sports,
20865,Taped,2002-08-02,Samurai! TV,
95447,Taped,2013-05-08,ion Television,
148613,Taped,2016-02-19,AXS TV,
133305,Taped,2014-08-27,Challenge TV,
1061,Live,2004-09-23,Nippon TV / G+,
106915,Taped,2014-02-08,lokale TV Sender (USA),
43802,Taped,1994-01-30,Televisa Deportes,
55132,Taped,2010-08-26,Spike TV,1.1
285577,Live,1980-12-13,PRISM Network,
2449,Live,,TNN,4.0
345190,Taped,2022-06-16,YouTube.com,
95695,Taped,2013-05-17,Syfy,
136562,Taped,2015-10-01,Samurai! TV,
216485,Taped,2018-12-04,Samurai! TV,
39698,Taped,2009-05-28,WGN,
352162,Live,2022-11-12,FITE TV,
98034,Live,2013-11-24,,
155769,Taped,2016-06-26,Gaora TV,
149921,Taped,2016-03-30,WWE Network,
361798,Taped,1977-09-10,lokale TV Sender (USA),
211114,Taped,2018-10-10,DDTuniverse.com,
47481,Taped,1997-12-20,lokale TV Sender (USA),
380466,Live,2024-01-22,USA Network,
77478,Taped,1991-01-05,,
184370,Taped,2017-08-26,lokale TV Sender (USA),
2160,Live,2000-09-04,USA Network,4.2
233219,Live,2019-07-02,WWE Network,
180722,Taped,2016-12-09,AXS TV,
23814,Taped,1996-09-21,Galavision,
133365,Live,2015-08-11,Samurai! TV,
82799,Taped,2012-07-27,Syfy,1.9
150243,Taped,2016-04-07,USA Network,
33870,Taped,1992-08-21,lokale TV Sender (USA),
91691,Taped,2013-02-04,,
47299,Taped,1995-09-12,lokale TV Sender (USA),
18690,Taped,2008-03-13,Spike TV,1.12
361411,Live,2023-02-11,Dragon Gate Network,
8327,Taped,2001-01-31,TBS,2.2
299174,Taped,2021-01-21,Hulu,
123370,Taped,2015-01-10,lokale TV Sender (USA),
301840,Live,2021-01-30,FITE TV,
94652,Taped,,TBS,
338367,Taped,2022-03-12,YouTube.com,
128356,Live,2015-04-26,WWE Network,
17957,Taped,1994-10-30,lokale TV Sender (USA),
33908,Taped,1993-01-16,lokale TV Sender (USA),
65612,Taped,,Gaora TV,
226953,,,Dragon Gate Network,
47305,Taped,1995-11-28,lokale TV Sender (USA),
368145,Taped,2023-06-01,AXS TV,
46533,Taped,2013-01-12,,
391580,Taped,1990-06-23,,
129666,Taped,1970-04-04,,
235988,Live,2019-08-04,Dragon Gate Network,
202783,Live,2018-07-17,WWE Network,
