event_id,wrestler_id
48417,1753
4579,1125
4579,446
17707,1128
17707,495
16411,1124
16411,1122
3436,784
3436,439
3436,937
356457,19008
356457,712
356457,2243
188520,484
188520,16220
180701,1279
180701,439
334614,18927
206775,439
206775,3415
343195,437
343195,712
343195,293
136271,7351
136271,14314
351168,252
351168,1128
351168,446
351168,594
13770,1562
13770,3530
334616,2442
12357,784
12357,53
7472,13773
7472,7447
138880,337
138880,1179
239821,1128
239821,439
12017,1124
12017,1122
55809,1128
55809,53
41600,2867
41600,13763
41600,14615
41600,13781
41600,8765
316518,15841
316518,12132
316518,25513
61381,7447
61381,13781
61381,90
174027,14314
174027,5663
174027,193
361621,19183
361621,2381
361621,12596
70526,937
70526,337
70526,1125
4839,383
4839,1383
382282,1455
97620,315
97620,4620
117433,1122
117433,446
35367,1124
35367,1122
129577,1122
129577,1124
35069,1128
35069,4564
88548,4620
88548,484
135805,1128
135805,770
79238,7447
394537,11883
394537,14314
359519,19183
359519,2381
359519,2861
70687,1122
70687,446
102915,5663
102915,13916
102915,594
17051,383
17051,770
306735,5663
306735,1527
348064,484
302642,422
302642,1359
286201,5663
286201,676
286201,14314
334515,252
334515,437
189242,16299
189242,484
189242,6327
2403,469
2403,937
2403,1125
2403,446
111928,5663
111928,14314
15698,784
15698,720
350299,16220
350299,2849
116197,1125
116197,937
116197,193
382182,642
382182,16220
179957,14314
179957,5663
179957,193
153714,5663
153714,14314
339458,3850
339458,15082
339458,2138
394246,784
394246,423
76792,1122
76792,446
9724,2867
9724,13763
9724,14615
9724,13781
386128,642
386128,16220
386128,20960
13787,469
13787,5082
157928,337
157928,1179
380448,383
380448,19858
45200,11246
45200,24858
375018,1212
375018,21462
375018,19183
375018,10870
375018,1214
97745,17131
97745,594
156417,8000
156417,2515
156417,14314
182473,19183
199405,935
199405,19183
127002,1527
127002,15082
346888,252
346888,446
373045,252
373045,484
373045,446
373045,1128
373045,199
338798,252
338798,1128
67046,439
67046,1125
67046,937
57356,1359
57356,1125
57356,1837
95447,1125
95447,193
148613,1279
148613,16299
133305,1121
133305,2444
106915,4620
106915,315
55132,1122
55132,446
2449,469
2449,937
345190,3850
345190,15082
95695,1125
95695,193
95695,337
136562,935
136562,19183
216485,11246
216485,24858
39698,937
39698,1125
39698,1359
39698,337
39698,1837
39698,439
352162,23601
352162,11073
352162,2472
98034,937
98034,193
98034,1125
149921,1527
149921,14314
361798,784
47481,1753
380466,1125
380466,2849
77478,439
77478,664
184370,19008
184370,22292
184370,994
2160,439
2160,937
233219,11883
233219,484
233219,16220
180722,1279
180722,439
82799,642
82799,337
82799,1125
150243,5663
150243,937
150243,16299
47299,1753
18690,1124
18690,1122
8327,1122
8327,1128
299174,676
299174,14314
123370,4620
123370,315
123370,838
301840,24416
94652,1128
94652,770
338367,1306
338367,23601
338367,11073
338367,2472
128356,1125
128356,937
128356,193
17957,383
17957,1034
47305,1753
368145,23290
368145,14314
202783,484
202783,6327
202783,16220
355756,19183
355756,2381
56461,1359
56461,1125
56461,1837
21539,19582
21539,19183
12509,495
12509,449
171705,10009
171705,24416
37469,937
37469,1125
252691,439
378833,252
378833,446
378833,1128
378833,16632
345549,19183
345549,2381
345549,455
2394,439
2394,469
2394,937
86311,1122
86311,446
319612,19183
319612,9628
44924,2867
44924,13763
44924,13781
44924,8765
58144,1125
58144,337
137889,337
137889,1121
369293,23601
4425,1128
4425,3744
101826,1121
101826,12764
47389,1753
11845,1124
11845,1122
257529,4017
257529,15082
13640,784
13640,53
108511,1123
108511,831
108511,640
108511,784
108511,4597
156569,1279
156569,439
205656,439
205656,770
1232,3756
47261,1753
297106,801
297106,5663
297106,676
297106,14314
9254,469
9254,1837
281351,337
281351,199
2961,439
2961,937
255462,252
255462,446
250459,252
250459,439
250459,446
250459,1128
88409,193
88409,1125
197691,337
197691,569
290069,14314
290069,1161
180241,19183
180241,19859
47259,1753
333761,4620
333761,3351
38556,1122
38556,3744
37604,3744
37604,1128
37604,770
37604,1122
92975,337
92975,1125
92975,7047
116491,11246
116491,24858
83676,337
83676,3689
152125,2381
152125,18527
152125,18602
152125,961
81146,1122
81146,446
339820,1125
339820,10161
105591,439
105591,383
334600,439
334600,1128
334600,252
334600,594
302659,1359
192569,484
192569,16299
192569,6327
367635,784
361384,1125
361384,2849
112324,2808
112324,495
112324,373
11855,1124
11855,1122
361991,1527
361991,25950
330913,19008
330913,1781
330913,14988
53192,7447
4130,1128
4130,373
4130,770
346222,11883
346222,14314
264819,252
264819,439
264819,1128
196972,5663
196972,937
196972,439
196972,484
196972,16220
196972,1161
196972,1527
196972,1125
48458,1753
187613,1125
187613,1527
187613,13916
187613,14314
187613,8000
187613,16220
41946,1442
41946,8765
10549,1122
10549,1124
74704,1122
74704,446
214808,199
214808,337
129608,1122
129608,1124
126300,337
126300,446
358612,243
358612,784
341655,11883
341655,14314
66561,13781
66561,7447
66561,1096
362455,3850
362455,1359
362455,14169
362455,23351
362455,14128
322168,422
322168,1359
121535,13916
121535,14314
224350,5663
224350,1527
224350,14314
270623,19183
162634,1527
162634,14314
170107,1179
170107,337
61663,642
61663,337
61663,1125
198110,19183
198110,24858
159159,337
159159,1121
384627,12132
384627,26052
360604,1125
360604,2849
98627,193
98627,1125
113623,13916
113623,14314
212218,545
212218,337
15730,937
15730,439
15730,784
135785,3110
10608,439
10608,937
10608,193
10608,1125
10608,1753
10608,446
13063,1124
13063,1122
335161,1306
335161,23601
335161,2472
287283,1562
287283,15841
287283,3530
199666,16299
199666,484
199666,6327
335153,3850
335153,15082
314468,439
314468,837
293604,337
25690,1124
25690,1122
356401,1125
356401,2849
356401,10147
121737,193
121737,1125
250170,23601
250170,2849
250170,5961
335705,484
54631,7447
54631,2867
54631,14615
54631,13781
11970,1124
11970,1122
1522,1122
1522,1124
1522,452
49225,7546
49225,2867
58536,697
58536,8913
58536,3286
129210,337
129210,1179
9945,193
9945,1125
360502,252
360502,446
360502,1128
158037,19183
158037,19859
158037,2622
41601,2867
41601,13763
41601,14615
41601,8765
41601,13781
246627,479
246627,3828
246627,252
133306,1121
133306,1122
58759,495
58759,1128
310694,19008
310694,838
310694,1848
167349,16299
167349,8000
167349,193
167349,14314
325961,19008
325961,838
86766,1125
86766,1590
80544,13773
80544,1041
127431,252
127431,14275
127431,870
127431,632
127431,7216
330985,3850
330985,15082
201546,439
201546,1279
13836,1562
13836,3530
254471,23601
254471,2849
254471,4409
61300,337
61300,1125
61300,937
15581,947
15581,784
112997,1128
112997,495
316510,1212
333581,422
333581,1359
333581,401
367476,11883
367476,14314
367476,5123
70591,5082
70591,594
347757,784
347757,243
206730,838
206730,994
206730,19008
206730,14988
206730,61
11973,1124
11973,1122
41270,937
41270,1125
96638,1122
96638,446
311032,15841
311032,10271
132571,1121
132571,1122
185639,642
185639,1527
185639,1125
304813,252
304813,446
84071,337
84071,3689
323852,1128
6329,373
6329,1122
280763,11246
280763,24858
14821,1128
14821,53
294085,5663
294085,14314
38672,2867
38672,13763
38672,13781
38672,961
61134,13781
61134,7447
16850,439
74487,24460
74487,2381
74487,13763
33863,4598
33863,283
214367,199
214367,337
124832,1121
124832,2444
320573,19008
320573,838
320573,22900
398,1753
398,199
16214,469
124110,4620
124110,853
124110,16632
356902,1179
356902,1124
356902,1121
356902,337
356902,1122
3886,837
3886,548
3886,422
3886,635
5124,1122
5124,1124
285533,21462
30444,383
340687,252
340687,446
340687,18784
340687,902
394587,784
394587,423
198710,337
198710,569
315149,19183
315149,19582
11323,1122
11323,1124
341959,1562
341959,15841
341959,12132
341959,919
1754,383
1754,53
18717,383
18717,831
18717,770
265729,252
265729,439
265729,1128
107218,4620
107218,315
317500,21462
317500,18572
246906,252
246906,439
246906,1128
360770,24460
360770,2381
360770,9628
111345,5663
111345,14314
339456,18927
74488,24460
74488,2381
74488,13763
248090,5663
248090,16220
41852,383
41852,770
311519,252
311519,439
311519,1128
15733,439
15733,1015
15733,784
215743,1527
215743,1125
215743,13916
168692,5663
168692,1527
168692,8000
168692,193
168692,16299
168692,1125
90555,937
90555,1125
6055,1562
6055,3530
283464,446
283464,1128
154805,19183
154805,19859
154805,2622
2465,439
2465,937
60532,1753
350169,11883
350169,14314
350169,401
161086,19183
161086,19859
327051,1562
327051,15841
1584,770
1584,1383
1584,1128
47100,1562
47100,8816
112445,1125
112445,937
112445,193
92974,1125
92974,1590
129610,1122
129610,1124
47466,1753
100950,937
100950,193
100950,1125
49240,2867
49240,13763
49240,8765
49240,14615
49240,13781
254376,19183
254376,455
254376,18572
254376,3286
157398,2381
157398,19183
205758,1527
205758,1125
205758,13916
3141,1122
3141,1124
7591,937
7591,439
7591,193
7591,1125
7591,1753
7591,446
85421,10113
85421,1359
85421,337
75820,90
8663,784
8663,51
90232,4620
90232,484
319375,7374
319375,439
136657,1527
136657,15082
349577,252
349577,446
207031,3415
207031,1303
14553,1753
14553,446
13236,937
13236,640
13236,784
47267,1753
321280,4598
321280,698
270438,11246
270438,24858
247163,439
247163,9765
353943,252
353943,446
353943,1128
353943,199
345450,11883
345450,14314
345450,5724
345450,8116
316488,439
316488,4598
387093,12474
387093,24300
387093,5663
387093,16220
4131,1128
4131,770
4131,373
90556,7447
71771,7447
71771,13781
44811,3286
44811,13763
44811,18571
44811,18556
44811,18526
44811,18572
44811,18527
357472,252
357472,446
357472,1128
237792,1161
237792,16299
237792,484
13233,937
13233,640
13233,784
13233,439
13233,770
297109,676
297109,14314
350792,11883
350792,14314
97052,283
97052,4598
156021,1527
156021,14314
3999,770
3999,449
3999,1509
319693,439
218458,484
218458,6327
218458,16220
17314,383
17314,770
17314,518
312582,252
312582,14007
312582,446
139048,1128
139048,770
202378,18556
202378,2381
202378,455
202378,14615
202378,22868
375555,1562
375555,12132
6592,18572
15168,1562
15168,3530
334606,1306
334606,23601
334606,2472
118761,4620
118761,315
118761,484
