event_id,rating,votes
4579,4.67,3.0
17707,6.0,1.0
16411,6.71,42.0
3436,7.29,28.0
356457,5.5,10.0
188520,3.0,5.0
334614,7.0,2.0
302970,6.5,2.0
343195,5.2,15.0
136271,5.0,2.0
352698,7.0,1.0
351168,6.83,128.0
13770,8.36,14.0
334616,7.5,2.0
15270,3.0,1.0
197889,5.5,2.0
7472,5.0,2.0
138880,8.0,4.0
239821,7.0,1.0
12017,5.57,37.0
55809,4.0,1.0
316518,5.67,3.0
174027,6.44,34.0
361621,5.13,8.0
70526,4.39,23.0
195053,4.0,1.0
4839,4.0,2.0
117972,5.0,3.0
97620,8.8,5.0
117433,4.25,4.0
35367,7.44,61.0
154720,7.0,5.0
88548,6.0,1.0
135805,5.0,1.0
321864,5.0,1.0
359519,5.75,8.0
151652,5.0,1.0
70687,7.0,11.0
102915,2.25,8.0
17051,8.0,1.0
306735,2.94,33.0
348064,6.0,1.0
302642,4.56,9.0
47577,10.0,1.0
286201,5.43,7.0
334515,4.21,14.0
189242,8.74,39.0
2403,5.49,67.0
111928,7.83,6.0
15698,4.0,2.0
188213,3.0,2.0
350299,6.34,35.0
116197,6.27,99.0
298542,7.0,1.0
252739,3.0,1.0
177432,6.8,5.0
382182,6.92,77.0
179957,4.25,24.0
153714,3.0,3.0
339458,6.33,3.0
76792,3.5,6.0
14113,6.86,7.0
251819,4.0,1.0
9724,4.5,2.0
386128,6.63,48.0
325599,6.0,4.0
151402,5.0,1.0
332210,6.0,1.0
157928,6.83,6.0
254861,7.0,1.0
45200,8.83,6.0
375018,7.94,16.0
97745,3.5,8.0
156417,3.2,5.0
182473,6.0,1.0
199405,6.83,6.0
127002,4.46,13.0
346401,6.0,1.0
346888,7.44,27.0
373045,7.31,382.0
338798,5.33,12.0
67046,6.21,33.0
57356,5.31,16.0
95447,6.56,9.0
106915,8.0,2.0
55132,6.24,17.0
2449,2.33,3.0
345190,6.0,6.0
95695,4.44,9.0
136562,7.67,3.0
216485,5.67,3.0
39698,7.08,12.0
352162,4.33,3.0
98034,4.23,94.0
168602,4.0,1.0
155769,7.67,3.0
149921,3.62,13.0
211114,3.0,1.0
380466,7.34,88.0
184370,5.0,1.0
2160,4.5,2.0
73453,5.0,2.0
233219,6.22,9.0
133365,5.31,13.0
82799,7.11,18.0
162390,6.0,4.0
150243,5.52,31.0
33870,7.33,3.0
47299,5.43,7.0
18690,6.38,8.0
361411,6.0,2.0
8327,4.0,3.0
299174,3.67,3.0
123370,7.22,9.0
301840,6.33,3.0
128356,6.64,22.0
65612,5.0,2.0
47305,2.0,2.0
368145,6.0,2.0
202783,6.25,16.0
363472,6.22,9.0
355756,6.4,10.0
56461,7.85,20.0
21539,6.0,2.0
102315,6.0,1.0
171705,8.09,32.0
37469,8.15,27.0
349741,9.0,2.0
252691,5.0,1.0
378833,7.05,168.0
345549,7.61,36.0
149880,4.0,2.0
2394,6.17,6.0
209874,7.0,2.0
319612,6.0,7.0
187547,4.67,3.0
58144,3.27,11.0
369293,5.71,7.0
4425,3.67,3.0
241038,7.0,1.0
101826,6.0,1.0
47389,2.5,2.0
