match_id,rating,votes
91,8.09,68.0
95,6.25,19.0
96,7.97,31.0
106,6.24,36.0
107,3.88,7.0
108,5.2,9.0
186,5.0,5.0
188,6.43,6.0
191,7.6,9.0
192,7.5,9.0
219,3.89,17.0
220,5.2,14.0
222,6.96,27.0
228,7.29,6.0
231,7.89,8.0
265,6.74,146.0
266,6.16,144.0
268,4.96,121.0
269,5.34,120.0
270,7.85,219.0
276,7.84,44.0
278,6.96,27.0
279,7.46,25.0
280,8.45,48.0
281,9.38,135.0
416,7.55,10.0
437,7.33,5.0
455,6.67,11.0
456,6.43,6.0
460,5.67,5.0
464,8.53,56.0
506,8.67,29.0
530,7.76,32.0
627,6.27,14.0
628,5.5,11.0
629,3.73,10.0
630,6.71,16.0
631,7.11,18.0
632,4.69,15.0
633,5.83,22.0
714,8.18,33.0
717,7.03,30.0
719,6.52,20.0
720,7.14,34.0
728,8.43,13.0
816,5.1,9.0
817,5.5,7.0
818,6.89,8.0
819,5.09,10.0
820,7.0,18.0
924,5.08,24.0
925,6.07,28.0
926,4.38,20.0
928,5.52,28.0
984,6.9,9.0
994,6.22,8.0
995,5.12,7.0
1099,7.54,12.0
1214,4.7,9.0
1327,8.95,123.0
1336,6.55,19.0
1338,5.47,16.0
1339,4.54,12.0
1341,5.71,27.0
1342,6.08,23.0
1343,5.82,43.0
1386,7.23,47.0
1389,5.54,25.0
1390,4.43,22.0
1392,6.09,44.0
1399,6.94,80.0
1400,4.29,6.0
1401,5.41,55.0
1402,6.72,108.0
1405,5.45,10.0
1406,7.39,134.0
1462,7.87,22.0
1463,8.12,25.0
1469,6.28,108.0
1470,6.87,109.0
1471,4.22,86.0
1472,6.16,93.0
1473,6.4,99.0
1474,6.62,100.0
1573,8.05,18.0
1692,7.71,93.0
1695,5.32,52.0
1696,4.93,53.0
1697,5.37,53.0
1764,7.59,26.0
1806,8.82,64.0
1832,5.0,7.0
1833,6.06,15.0
1834,5.14,6.0
1835,5.71,6.0
1836,7.26,26.0
1837,6.62,7.0
1838,5.8,9.0
1839,6.84,18.0
1840,7.23,42.0
1841,7.73,54.0
1842,8.44,99.0
1950,7.42,11.0
1964,8.76,62.0
2018,6.96,173.0
2019,6.25,15.0
2025,5.94,15.0
2026,7.32,84.0
2034,6.66,465.0
2035,6.93,489.0
2036,4.8,437.0
2037,7.8,499.0
2038,7.06,460.0
2039,9.63,912.0
2040,7.23,463.0
2041,4.76,599.0
2111,5.64,10.0
2255,6.0,8.0
2256,5.88,7.0
2307,8.75,23.0
2344,2.38,15.0
2350,6.82,60.0
2352,1.28,17.0
2354,6.0,5.0
2355,6.7,68.0
2356,2.48,22.0
2401,6.42,101.0
2403,5.6,88.0
2404,7.35,141.0
2405,4.32,75.0
2406,6.83,98.0
2526,5.61,17.0
2529,6.73,21.0
2530,6.56,24.0
2648,6.0,6.0
2687,6.41,40.0
2861,6.15,12.0
2863,7.23,12.0
2864,6.93,13.0
2896,5.83,17.0
2899,4.86,13.0
2900,6.88,15.0
2902,6.91,21.0
2903,6.11,17.0
2904,7.74,41.0
2926,7.19,15.0
2965,7.14,6.0
3005,6.27,14.0
3007,7.46,34.0
3019,7.96,25.0
3020,9.0,14.0
3039,8.23,297.0
3040,8.71,328.0
3041,6.06,159.0
3061,5.33,11.0
3062,5.0,12.0
3063,4.5,11.0
3064,5.25,11.0
3065,7.29,89.0
3066,6.28,60.0
3068,7.62,105.0
3069,8.35,124.0
3087,8.64,13.0
3118,6.0,7.0
3128,7.14,13.0
3129,7.42,11.0
3134,8.23,12.0
3176,5.0,10.0
3177,4.0,7.0
3178,5.56,8.0
3179,6.21,13.0
3180,6.79,18.0
3209,5.67,5.0
3210,5.5,5.0
3211,6.14,6.0
3212,6.75,7.0
3230,8.0,8.0
3475,9.03,38.0
3501,6.13,22.0
3503,3.64,13.0
3504,5.42,11.0
3505,7.45,37.0
3507,5.4,14.0
3594,7.08,63.0
3595,4.84,44.0
3596,2.31,53.0
3597,6.87,54.0
3598,6.06,52.0
3599,7.81,88.0
3600,7.95,73.0
3642,6.85,12.0
3643,6.83,11.0
3664,8.23,608.0
3665,8.54,570.0
3666,7.39,523.0
3667,5.1,452.0
3668,8.94,704.0
3669,4.37,459.0
3670,8.57,601.0
3671,7.24,465.0
3672,8.32,541.0
3693,7.65,19.0
3702,7.8,14.0
3728,8.22,8.0
3731,5.69,12.0
3732,6.1,9.0
3734,8.25,56.0
3756,7.87,22.0
3757,7.36,21.0
3758,8.33,29.0
3786,5.67,17.0
3787,5.12,15.0
3788,8.12,83.0
3900,8.82,10.0
3951,6.38,15.0
3952,7.61,37.0
3954,6.5,15.0
3955,6.47,14.0
3957,9.47,260.0
4052,5.5,25.0
4054,6.55,32.0
4056,3.29,27.0
4135,7.39,261.0
4136,6.45,232.0
4137,3.61,192.0
4138,5.68,214.0
4139,5.84,327.0
4202,8.0,15.0
4229,7.37,193.0
4230,9.01,308.0
4231,8.8,263.0
4232,8.59,256.0
4259,5.9,68.0
4262,6.98,90.0
4270,7.28,125.0
4271,5.49,107.0
4272,6.29,97.0
4273,7.96,143.0
4274,6.95,104.0
4275,6.56,92.0
4312,5.86,6.0
4408,7.09,10.0
4436,6.28,17.0
4438,6.36,24.0
4439,4.58,18.0
4440,8.34,147.0
4473,8.26,34.0
4474,8.72,45.0
4482,4.35,19.0
4483,7.41,31.0
4484,3.36,21.0
4504,3.68,21.0
4505,6.38,81.0
4507,5.92,23.0
4508,5.78,85.0
4509,5.69,34.0
4510,6.6,94.0
4511,8.52,237.0
4512,4.51,34.0
4513,8.59,216.0
4544,7.83,5.0
4671,6.65,19.0
4672,6.64,24.0
4674,5.45,10.0
4675,7.54,27.0
4676,6.84,24.0
4726,7.25,7.0
4863,8.93,42.0
4865,8.52,20.0
4989,6.57,6.0
4990,5.57,6.0
4991,7.09,10.0
4992,6.0,5.0
4993,5.22,8.0
4994,7.0,9.0
4997,6.33,5.0
5000,7.29,6.0
5003,7.1,83.0
5005,5.42,39.0
5027,7.56,8.0
5168,8.48,20.0
5173,8.28,191.0
5174,1.16,55.0
5175,6.56,108.0
5176,8.52,253.0
5177,3.88,51.0
5178,4.48,43.0
5180,8.46,211.0
5204,7.0,16.0
5212,6.8,9.0
5251,6.44,8.0
5252,6.75,7.0
5253,8.6,24.0
5254,7.0,7.0
5256,7.69,12.0
5257,7.54,12.0
5259,7.29,13.0
5293,6.36,10.0
5294,7.43,27.0
5295,5.77,12.0
5308,7.42,25.0
5310,7.32,24.0
5313,8.6,85.0
5336,7.39,86.0
5338,6.95,92.0
5339,8.44,171.0
5457,5.86,6.0
5459,6.5,7.0
5461,6.75,7.0
5576,7.35,16.0
5577,8.02,57.0
5579,3.23,12.0
5580,7.8,49.0
5581,7.0,5.0
5582,8.38,63.0
5636,6.2,168.0
5637,5.59,180.0
5638,6.59,214.0
5639,4.47,133.0
5640,6.89,184.0
5733,8.45,10.0
5756,5.19,15.0
5757,4.29,16.0
5758,6.31,15.0
5884,6.5,7.0
5886,6.38,12.0
5887,5.92,12.0
5888,6.38,12.0
5983,7.21,41.0
5984,4.88,7.0
5985,7.0,9.0
5986,9.21,91.0
5987,6.88,7.0
5988,9.28,106.0
5989,7.89,37.0
5990,6.93,14.0
5991,5.33,14.0
5992,5.7,9.0
6023,7.31,15.0
6025,8.68,37.0
6028,5.8,9.0
6029,8.78,45.0
6100,6.93,13.0
6102,6.29,6.0
6104,7.67,26.0
6133,6.14,6.0
6136,7.92,12.0
6158,5.33,5.0
6167,5.46,12.0
6168,5.88,16.0
6170,6.55,19.0
6172,5.17,11.0
6204,8.35,39.0
6205,5.38,7.0
6207,6.38,7.0
6209,5.89,8.0
6303,5.88,7.0
6304,6.0,7.0
6310,6.89,8.0
6373,5.76,49.0
6415,9.0,31.0
6444,7.33,8.0
6514,7.2,54.0
6517,6.03,35.0
6518,8.44,101.0
6577,5.31,12.0
6578,6.81,25.0
6579,6.21,23.0
6580,5.84,18.0
6581,5.26,18.0
6582,5.75,27.0
6583,5.11,17.0
6584,6.81,30.0
6585,7.19,41.0
6586,7.08,36.0
6587,7.86,57.0
6588,7.78,57.0
6589,8.52,107.0
6628,8.4,9.0
6771,6.57,6.0
6773,8.39,92.0
6962,7.31,12.0
6964,8.55,19.0
6978,6.0,26.0
6981,6.23,21.0
7052,5.56,15.0
7054,6.62,20.0
7055,7.29,13.0
7056,6.89,26.0
7057,6.7,29.0
7058,7.83,41.0
7072,5.2,9.0
7076,7.61,91.0
7079,8.34,109.0
7080,8.68,140.0
7116,5.88,7.0
7117,7.47,18.0
7118,7.0,7.0
7119,8.57,52.0
7120,6.88,7.0
7121,6.22,8.0
7122,6.71,6.0
7123,5.75,7.0
7124,8.1,59.0
7174,6.14,43.0
7175,6.36,84.0
7176,6.91,93.0
7177,6.6,99.0
7222,8.25,7.0
7233,7.71,13.0
7238,6.18,16.0
7239,6.33,17.0
7240,6.0,17.0
7243,6.32,21.0
7287,5.63,18.0
7288,6.37,18.0
7289,6.12,15.0
7290,3.9,19.0
7291,8.45,48.0
7292,7.2,19.0
7293,7.38,20.0
7294,8.72,100.0
7308,7.14,6.0
7310,7.9,9.0
7325,7.87,132.0
7326,2.48,30.0
7327,6.54,27.0
7328,6.41,31.0
7329,7.85,142.0
7357,6.28,39.0
7358,4.77,30.0
7359,5.13,30.0
7360,5.77,29.0
7361,6.77,34.0
7362,7.5,118.0
7363,8.0,139.0
7484,7.12,7.0
7488,6.83,5.0
7548,7.1,265.0
7549,7.42,245.0
7551,5.7,187.0
7553,7.62,259.0
7554,7.72,343.0
7623,6.43,6.0
7625,7.82,16.0
7631,7.31,15.0
7649,6.0,13.0
7650,5.33,8.0
7662,6.7,19.0
7663,5.68,18.0
7665,7.06,15.0
7666,6.0,20.0
7667,5.86,20.0
7668,7.17,34.0
7669,9.02,92.0
7671,7.12,15.0
7828,6.5,11.0
7829,6.83,11.0
7830,5.55,10.0
7832,7.19,15.0
7888,6.94,15.0
7889,6.77,12.0
7890,6.2,9.0
7891,6.8,14.0
7892,6.9,9.0
7893,4.89,8.0
7894,4.22,8.0
7975,7.5,7.0
8057,7.23,21.0
8060,7.07,28.0
8081,7.33,5.0
8145,6.1,20.0
8146,5.94,16.0
8148,6.4,19.0
8149,6.83,17.0
8151,6.73,14.0
8152,7.91,33.0
8213,6.35,16.0
8214,5.94,15.0
8215,3.43,34.0
8216,7.62,94.0
8217,3.67,11.0
8218,6.29,61.0
8219,7.01,73.0
8341,5.4,9.0
8343,4.3,9.0
8399,7.32,52.0
8494,7.36,38.0
8496,7.47,238.0
8497,7.75,231.0
8499,8.96,310.0
8500,5.41,149.0
8501,6.75,194.0
8502,6.96,25.0
8503,4.85,12.0
8505,5.0,13.0
8506,7.2,24.0
8507,8.25,58.0
8563,8.22,152.0
8565,6.55,86.0
8566,4.64,74.0
8567,8.25,171.0
8629,7.69,15.0
8756,4.13,156.0
8757,6.6,174.0
8758,6.4,163.0
8759,5.22,143.0
8760,4.62,134.0
8761,3.91,152.0
8793,5.62,7.0
8812,6.71,20.0
8813,7.32,18.0
8814,7.15,19.0
8815,7.58,30.0
8830,6.73,10.0
8832,4.7,9.0
8973,6.74,91.0
8975,7.67,104.0
8976,7.89,139.0
8977,7.76,144.0
9017,5.22,8.0
9020,5.43,6.0
9031,7.93,40.0
9033,9.12,96.0
9038,7.2,34.0
9155,6.25,11.0
9158,6.25,15.0
9280,4.6,19.0
9281,6.36,24.0
9284,4.87,14.0
9365,7.1,30.0
9366,8.08,58.0
9405,7.76,111.0
9406,5.75,59.0
9407,7.84,91.0
9408,6.27,74.0
9409,7.57,83.0
9410,7.14,75.0
9411,8.69,126.0
9509,7.51,92.0
9510,5.96,66.0
9512,5.43,60.0
9513,4.28,70.0
9515,6.61,73.0
9788,7.68,18.0
9789,7.71,20.0
9797,7.89,18.0
9829,6.11,18.0
9830,2.8,14.0
9831,6.44,15.0
9832,9.23,336.0
9834,5.84,69.0
9836,7.66,118.0
9927,7.61,22.0
9930,6.9,19.0
9931,7.39,37.0
10069,6.85,25.0
10072,8.5,73.0
10136,5.5,9.0
10137,5.9,9.0
10138,6.0,9.0
10148,6.71,6.0
10155,5.57,6.0
10156,4.43,6.0
10360,7.05,19.0
10363,5.88,16.0
10364,6.17,17.0
10366,7.94,97.0
10367,7.92,106.0
10368,8.26,139.0
10371,4.12,7.0
10372,6.0,6.0
10373,4.0,21.0
10374,7.26,30.0
10476,7.14,57.0
10479,6.57,43.0
10482,5.61,30.0
10559,6.15,12.0
10561,5.35,16.0
10562,4.9,9.0
10563,5.73,10.0
10564,5.73,10.0
10566,7.6,24.0
10567,4.75,7.0
10568,4.67,8.0
10569,7.0,15.0
10570,5.33,14.0
10601,6.76,610.0
10602,8.45,727.0
10603,4.73,547.0
10604,7.29,625.0
10605,8.15,648.0
10606,4.7,547.0
10607,9.45,880.0
10608,8.08,701.0
10609,9.44,873.0
10621,5.9,19.0
10622,5.47,16.0
10623,8.16,42.0
10647,6.83,5.0
10660,4.89,111.0
10661,5.25,108.0
10662,8.64,252.0
10701,7.47,84.0
10705,6.67,8.0
10777,7.89,8.0
10867,5.23,59.0
10869,6.02,57.0
10870,7.93,220.0
10885,5.17,23.0
10888,5.62,20.0
10890,5.5,25.0
10892,6.67,5.0
10945,7.76,214.0
10946,6.39,159.0
10947,2.09,144.0
10948,6.42,138.0
10949,3.61,130.0
10950,6.67,177.0
10970,7.06,34.0
10972,5.27,10.0
10973,6.6,67.0
10975,8.01,97.0
10976,8.27,120.0
10987,5.42,11.0
10989,6.1,9.0
10990,4.89,8.0
10991,5.22,8.0
10992,7.08,11.0
10993,7.28,24.0
11178,6.33,5.0
11179,6.42,11.0
11181,6.17,11.0
11186,4.9,30.0
11234,6.54,40.0
11236,6.03,31.0
11239,5.27,29.0
11242,5.43,68.0
11243,4.46,56.0
11245,5.44,61.0
11248,5.48,60.0
11253,6.87,30.0
11254,7.91,46.0
11256,8.27,61.0
11259,7.54,62.0
11362,6.67,5.0
11364,8.1,9.0
11400,6.0,5.0
11401,6.67,8.0
11437,6.33,481.0
11438,5.7,460.0
11439,7.3,502.0
11440,7.71,551.0
11441,6.44,438.0
11442,9.25,727.0
11443,7.14,488.0
11444,9.05,669.0
11445,7.87,514.0
11446,9.14,671.0
11493,9.05,62.0
11518,6.0,30.0
11520,6.41,31.0
11521,7.06,53.0
11522,7.85,93.0
11523,5.75,27.0
11524,8.58,99.0
11537,5.52,20.0
11538,4.91,22.0
11539,6.11,17.0
11540,5.33,17.0
11542,6.61,22.0
11613,9.15,85.0
11614,7.28,28.0
11629,5.05,18.0
11630,4.32,18.0
11631,5.79,18.0
11632,6.05,56.0
11633,6.53,61.0
11634,5.53,63.0
11635,6.13,59.0
11636,7.6,102.0
11742,8.47,18.0
11770,7.42,88.0
11771,5.92,23.0
11772,1.2,14.0
11773,6.51,48.0
11774,6.2,9.0
11775,8.55,146.0
11777,7.62,103.0
11781,6.25,15.0
11951,6.86,6.0
12017,7.36,71.0
12018,5.67,57.0
12019,8.4,116.0
12020,7.1,71.0
12021,5.39,45.0
12022,5.27,44.0
12023,8.72,133.0
12027,7.66,40.0
12029,7.71,48.0
12237,6.56,8.0
12284,7.58,11.0
12288,8.37,18.0
12302,7.69,31.0
12313,7.87,200.0
12314,5.76,101.0
12315,4.53,94.0
12316,6.23,106.0
12317,6.55,121.0
12400,7.85,12.0
12527,7.76,54.0
12600,5.21,13.0
12601,7.08,23.0
12602,5.05,18.0
12603,6.4,19.0
12604,5.09,10.0
12606,4.92,23.0
12635,6.73,14.0
12643,7.36,27.0
12734,7.11,8.0
12810,6.5,7.0
12873,5.83,35.0
12874,5.53,37.0
12878,5.25,31.0
12887,7.03,35.0
12950,7.43,6.0
12951,7.67,8.0
12961,5.76,84.0
12962,5.67,78.0
12964,6.19,88.0
13094,7.62,237.0
13096,6.43,202.0
13097,6.5,198.0
13098,5.55,167.0
13099,7.8,243.0
13271,7.06,16.0
13314,5.76,98.0
13315,6.63,99.0
13316,5.65,93.0
13318,7.66,147.0
13335,7.58,49.0
13393,5.6,9.0
13394,5.2,9.0
13395,5.17,11.0
13397,6.29,13.0
13400,4.78,8.0
13476,4.96,48.0
13477,4.55,46.0
13478,4.16,42.0
13479,6.32,52.0
13480,7.06,71.0
13481,4.22,94.0
13482,6.95,108.0
13483,7.37,126.0
13484,7.56,125.0
13485,9.22,328.0
13506,6.0,7.0
13507,5.62,7.0
13512,6.69,12.0
13517,7.55,50.0
13518,6.59,38.0
13519,5.62,15.0
13520,3.67,11.0
13521,3.92,25.0
13522,7.73,73.0
13523,5.47,16.0
13524,5.76,32.0
13594,9.38,221.0
13753,5.64,207.0
13755,6.68,219.0
13756,6.35,181.0
13757,6.54,191.0
13809,8.61,37.0
13810,7.0,14.0
13833,6.09,10.0
14055,5.57,6.0
14056,5.62,7.0
14057,6.89,8.0
14058,5.11,8.0
14059,7.5,13.0
