match_id,stars
91,3.5
95,3.25
96,3.75
106,3.5
265,3.75
270,4.5
276,3.75
278,3.5
279,3.5
280,4.25
438,3.75
455,3.25
456,3.5
464,4.25
506,4.75
510,3.0
714,3.75
717,3.25
719,3.25
720,3.0
1214,2.25
1327,4.5
1330,4.0
1399,3.25
1401,3.25
1402,3.75
1406,4.0
1427,4.0
1573,4.5
1692,4.0
2026,4.0
2034,3.75
2035,4.0
2036,2.25
2037,4.75
2038,3.5
2039,5.0
2040,4.25
2041,4.5
2350,3.5
2355,3.5
2404,4.0
2526,3.25
2529,3.75
2687,3.25
2925,3.5
2926,3.5
2965,4.5
3005,3.25
3007,3.5
3039,4.5
3040,4.75
3065,4.0
3066,3.5
3068,3.5
3069,4.25
3192,3.75
3439,3.5
3594,3.25
3595,1.5
3596,0.0
3597,2.75
3598,3.0
3599,2.75
3600,3.75
3664,4.75
3665,4.75
3666,3.75
3667,2.25
3668,4.75
3669,3.25
3670,4.75
3671,4.0
3672,4.5
3759,3.25
3760,3.75
3951,3.25
3952,4.25
3954,3.5
3955,3.25
3957,4.75
4054,3.75
4135,4.5
4136,3.75
4139,4.0
4229,3.75
4230,4.75
4231,4.75
4232,4.25
4273,3.75
4504,1.5
4505,3.25
4507,2.0
4508,3.25
4509,1.5
4510,3.75
4511,4.75
4512,3.0
4513,4.5
5003,4.0
5173,4.25
5175,3.25
5176,4.0
5180,4.0
5204,3.5
5212,3.25
5308,3.25
5310,3.5
5313,4.25
5339,4.25
5489,3.25
5590,3.75
5637,3.5
5638,4.0
5640,3.75
5740,4.25
6023,3.75
6025,4.25
6028,3.25
6029,4.0
6444,4.0
6447,4.0
6514,3.0
6517,3.25
6518,4.0
6589,4.25
6773,4.25
7072,3.25
7076,4.0
7079,4.25
7080,4.5
7176,4.0
7177,3.75
7325,4.5
7329,4.0
7362,3.5
7363,4.0
7548,3.75
7549,4.5
7551,4.0
7553,4.0
7554,4.25
7644,3.5
7662,3.5
7663,3.25
7665,3.25
7666,3.25
7667,3.5
7668,4.0
7669,4.5
8081,4.0
8145,3.75
8146,3.75
8148,3.5
8149,3.5
8151,3.75
8152,4.5
8216,3.5
8218,3.25
8219,3.75
8398,2.0
8399,4.0
8496,4.25
8497,4.25
8499,4.75
8501,3.75
8507,4.5
8563,4.25
8567,3.75
8757,3.75
