promotion_id,name
4,Ring Of Honor
12,Pro Wrestling Guerrilla
3,Extreme Championship Wrestling
3,Eastern Championship Wrestling
1576,Ballistic Championship Wrestling
117,Big Japan Pro-Wrestling
2287,All Elite Wrestling
8,Pro Wrestling NOAH
962,Revolution Pro Wrestling
5,Impact Wrestling
5,Global Force Wrestling
5,Impact Wrestling
5,Total Nonstop Action Wrestling
5,National Wrestling Alliance Total Nonstop Action
64,Universal Wrestling Federation
64,Mid-South Wrestling
64,National Wrestling Alliance Tri-State
6,All Japan Pro Wrestling
903,PROGRESS Wrestling
41,American Wrestling Association
41,Minneapolis Boxing & Wrestling Club
122,Lucha Libre AAA World Wide
122,Asistencia Asesoria y Administracion
22,Major League Wrestling
22,Major League Wrestling
62,World Class Wrestling Association
62,World Class Championship Wrestling
62,NWA Big Time Wrestling
62,Southwest Sports
1467,Tokyo Joshi Pro-Wrestling
118,DDT Pro Wrestling
118,Dramatic Dream Team
32,Smoky Mountain Wrestling
710,Game Changer Wrestling
710,Jersey Championship Wrestling
7,New Japan Pro Wrestling
1,World Wrestling Entertainment
1,World Wrestling Federation
1,World Wide Wrestling Federation
1,National Wrestling Alliance Capitol Wrestling Federation
1,National Wrestling Alliance Capital Sports
78,Consejo Mundial De Lucha Libre
78,Empresa Mexicana De La Lucha Libre
2,World Championship Wrestling
9,National Wrestling Alliance
96,Dragongate Japan Pro-Wrestling
96,Dragon Gate
