title_id,name
5311,WWF World Martial Arts Heavyweight Championship
5934,New Blood Tag Team Championship
1555,AAA Latin America Championship
2964,Princess Of Princess Championship
2964,TOKYO Princess Of Princess Championship
522,Mexican National Lightweight Championship
493,UWA World Heavyweight Championship
2827,RevPro Undisputed British Cruiserweight Championship
2827,RevPro British Cruiserweight Championship
143,GHC Junior Heavyweight Tag Team Championship
4392,AEW World Tag Team Championship
3819,WWE NXT UK Women's Championship
3819,WWE NXT UK  Championship
3819,WWE NXT UK Women's Championship
2059,wXw Shotgun Championship
1093,IWA Caribbean Heavyweight Championship
1093,MLW Caribbean Heavyweight Championship
1093,IWA Caribbean Heavyweight Championship
84,ZERO1 United National Heavyweight Championship
84,ZERO1-MAX United National Heavyweight Championship
84,NWA United National Heavyweight Championship
1740,SWE Speed King Championship
1272,ROH World Television Championship
1466,NWA Smoky Mountain Tag Team Championship
1466,NWA Tennessee Tag Team Championship
1466,NWA Smoky Mountain Tag Team Championship
1466,CWA World Tag Team Championship
3482,Princess Tag Team Championship
3482,TOKYO Princess Tag Team Championship
803,PWF Heavyweight Championship
910,All Asia Heavyweight Championship
827,WWF Junior Heavyweight Championship
827,WWWF Junior Heavyweight Championship
2212,FSW Women's Championship
5220,IWR United States Championship
3672,WWF North American Heavyweight Championship
3672,WWF North American Championship
3672,WWWF North American Championship
3,ECW World Tag Team Championship
3,ECW Tag Team Championship
3412,BJW Junior Heavyweight Championship
1650,IWC World Heavyweight  Championship
356,Anarchy Television Championship
356,NWA Anarchy Television Championship
3400,IWGP United States Heavyweight Championship
1865,NEVER Openweight Championship
3560,wXw Women's Championship
4370,AEW Women's World Championship
4804,AJPW TV Six Man Tag Team Championship
3125,PROGRESS Atlas Championship
649,Open The Twin Gate Championship
179,NWA Worlds Heavyweight Championship
179,NWA World Heavyweight Championship
826,WWWF United States Tag Team Championship
826,NWA Capitol Wrestling United States Tag Team Championship
1645,ZERO1 World Junior Heavyweight Championship
1645,NWA World Junior Heavyweight  Championship
220,MPW British Commonwealth Junior Heavyweight Championship
220,J-Crown Championship
220,MPW British Commonwealth Junior Heavyweight Championship
233,WWF International Heavyweight Championship
1086,Distrito Federal Heavyweight Championship
1201,Occidente Middleweight Championship
1201,Jalisco Middleweight Championship
2002,PWF World Tag Team Championship
1576,Wonder Of Stardom Championship
